Release date	Max resolution	Low resolution	Effective pixels	Zoom wide (W)	Zoom tele (T)	Normal focus range	Macro focus range	Storage included	Weight (inc. batteries)	Dimensions	Price
2007	3264	2272	8	35	140	45	2	32	195	90	384
2007	3264	2592	8	28	105	45	2	32	165	93	384
2006	3648	2816	10	37	111	0	5	32	205	91	199
2007	4000	3264	12	36	133	50	5	32	205	96	384
2007	3264	2592	8	36	360	50	1	32	316	109	299
2007	3072	2592	7	39	390	50	10	0	260	89	139
2005	2560	2048	4	38	190	40	1	7	275	99	249
2004	2816	2048	5	33	132	40	10	9	275	98	249
2004	3072	2304	7	33	132	40	10	9	275	98	249
2004	2048	1600	3	36	102	40	17	9	123	88	249
2003	1600	1280	1	35	35	80	30	10	100	83	249
2003	2048	1600	3	35	35	80	80	10	110	90	249
2005	2560	2304	4	38	114	40	17	8	125	90	249
2005	2816	2304	6	38	114	40	15	8	155	90	249
2006	2816	2304	6	38	114	40	15	8	155	90	249
2007	3264	2816	8	38	114	50	15	10	138	94.5	249
2007	3072	2560	7	38	266	30	10	11	190	96	299
2007	3264	2816	8	38	266	40	10	11	199	96	299
2005	2560	2304	5	35	114	40	6	8	154	90	329
2006	3648	2560	10	38	114	40	6	8	185	92	329
2007	3648	2560	10	38	114	40	10	15	165	91	329
2007	3648	2560	10	38	114	40	10	11	165	91	329
2005	2816	2304	6	35	114	40	6	8	151	90	329
2005	3072	2560	7	38	114	50	10	8	154	90	329
2007	4000	3264	12	37	111	40	6	11	162	93	329
2003	2048	1600	3	35	105	40	6	16	170	87	329
2004	2048	1600	3	35	105	40	6	9	150	87	329
2003	2304	1600	4	35	105	40	6	16	170	87	329
2004	2304	1600	4	35	105	40	6	9	150	87	329
2006	2560	2304	4	38	114	40	10	8	160	95	329
2004	2560	2048	5	35	105	50	6	9	171	87	329
2005	2560	2304	5	38	114	40	17	8	127	89	329
2004	2560	2048	5	35	105	50	6	9	180	87	329
2005	2560	2048	4	35	105	40	6	9	175	89	199
2006	2816	2304	6	38	114	40	10	8	148	95	329
2006	3072	2560	7	38	114	40	10	8	140	95	199
2006	3072	2560	7	38	114	40	15	8	154	89	329
2007	3072	2560	7	38	114	40	10	8	156	95	199
2005	3072	2304	7	38	114	40	10	9	165	89	329
2007	3072	2560	7	38	114	40	10	11	128	95	199
2006	3072	2560	7	38	114	40	15	6	176	95	249
2006	3264	2816	8	38	114	40	10	8	185	89	249
2001	1280	640	1	35	35	60	10	8	320	101	249
2002	1600	800	1	35	35	60	10	8	320	101	249
1999	1600	800	1	36	108	50	20	8	320	130	249
2001	1600	800	1	41	41	80	20	16	260	108	249
2000	1600	800	1	41	123	10	1	8	245	67	249
2001	1600	800	1	41	123	10	1	8	245	67	249
2000	1600	800	1	40	320	40	1	8	295	81	249
2001	1600	800	1	40	320	40	1	8	295	81	249
2000	2048	1024	3	41	41	50	10	16	245	115	249
1996	640	320	0	47	106	60	9	4	290	162	249
2000	2048	1024	3	33	100	30	6	16	360	134	249
2001	2048	1024	3	33	100	30	6	16	360	134	249
2001	2240	1600	3	34	102	30	6	16	420	118	249
1998	1280	640	1	35	35	30	10	8	320	147	249
1999	1280	640	1	36	36	30	10	8	320	131	249
2002	2560	1600	4	34	102	30	6	16	420	118	249
1997	640	0	0	38	38	70	14	4	290	147	249
1998	1280	640	1	32	64	23	10	8	320	141	249
1998	640	0	0	38	38	70	14	4	300	129	249
1999	1280	640	1	40	320	40	1	8	320	141	249
2002	2048	1600	3	38	113	40	14	11	240	90	249
2002	2304	2240	4	38	113	40	14	11	240	90	249
2003	2304	2240	4	39	117	60	10	11	210	88	249
2004	2304	2240	3	39	117	60	10	9	198	88	249
2004	2560	2048	4	39	117	60	10	9	210	88	249
2004	2816	2048	6	39	117	70	10	9	218	88	249
2004	2816	2048	6	39	117	70	10	9	218	88	249
2000	3040	0	6	0	0	0	0	0	0	152	549
2002	2560	1600	4	35	105	60	15	0	260	112	549
1999	1600	640	1	38	38	50	15	8	280	113	229
1999	1600	640	1	35	105	0	0	0	0	0	229
2004	2560	1600	4	34	102	50	5	16	200	92	159
2000	2048	640	3	34	102	50	5	16	360	107	399
2001	2048	1600	3	34	102	50	5	16	360	107	399
1997	640	320	0	43	43	60	20	2	320	142	229
1997	640	320	0	43	43	60	10	1	170	107	229
1997	1024	640	0	36	36	50	20	4	270	143	229
1999	1152	640	0	39	39	60	15	8	400	135	229
1998	1280	640	1	35	35	50	10	4	0	0	229
1998	1280	640	1	34	102	80	20	8	0	0	229
2003	2048	1600	3	34	102	50	11	16	285	105	399
2003	2304	1600	4	34	102	50	11	16	285	105	129
2004	2304	1600	4	34	102	50	11	16	203	92	129
2004	3008	2240	6	0	0	0	0	0	620	142	4499
2000	2400	1280	2	36	36	50	6	64	200	85.5	169
2001	2400	1600	2	36	36	50	6	64	200	85.5	169
1999	1280	640	1	35	105	90	25	4	700	100	169
1997	1280	640	1	35	105	20	20	0	700	153	169
2000	1280	640	1	38	38	80	8	8	240	110	169
2001	1600	1280	1	36	36	80	8	8	240	110	169
2000	1600	1280	1	38	114	80	10	8	290	125	169
2001	1600	1280	1	38	114	80	10	16	260	99	169
2002	1600	1280	1	38	114	80	8	16	235	100	169
2001	1600	1280	1	38	228	80	10	16	360	95	169
2001	1600	1280	1	38	38	60	8	16	200	85	199
2002	2048	1600	3	38	228	80	10	16	400	100	399
2001	2400	1600	2	36	108	60	20	16	280	80	169
2000	2400	1600	2	35	210	50	10	16	450	110	169
2001	2832	2048	3	36	108	60	20	16	280	80	169
2001	2832	2048	3	35	210	50	10	16	450	110	169
2001	1280	640	1	36	36	80	8	8	190	99	169
2004	2016	1600	3	38	38	80	9	16	170	102	169
2002	1600	1280	1	36	36	80	8	16	180	99	169
2001	1600	1280	1	36	36	80	8	16	190	99	169
2002	1600	1280	1	38	114	60	10	16	180	97	169
2003	1600	1280	1	36	108	80	10	16	225	99	169
2003	2048	1600	3	36	108	80	10	16	225	99	169
2002	2048	1600	3	38	114	60	10	16	180	97	169
2003	2816	2048	3	38	114	60	10	16	190	97	169
2004	2016	1600	3	38	114	60	10	16	160	104	169
2004	2272	1600	4	38	114	60	10	16	160	104	169
2005	2304	2048	4	35	105	60	6	16	192	90	169
2005	2592	2048	5	35	105	60	6	16	192	90	169
2006	2303	1600	4	38	114	60	10	12	170	93	169
2006	2592	2048	5	38	114	60	10	12	170	93	169
2006	2848	2048	6	36	108	50	10	12	195	93	169
2007	2848	2048	6	39	117	60	10	10	195	98	169
2007	3296	2304	8	36	108	50	10	10	200	98	169
2007	3296	2304	8	39	156	60	10	10	205	98	169
2007	3488	2048	9	39	156	60	10	10	205	98	169
2007	3488	2592	9	39	156	60	10	10	206	98	169
2004	2304	1600	4	28	91	60	6	16	226	101	169
2004	2592	2048	5	28	91	60	2	16	226	101	169
2004	4048	2048	6	32	130	60	7	16	260	105	169
2005	3488	2592	9	32	128	60	7	16	260	102	169
2005	2848	2048	6	36	108	60	8	16	190	92	179
2005	2848	2048	6	36	108	60	5	16	190	92	199
2006	2848	2048	6	36	108	60	5	10	190	94	169
2006	2848	2048	6	36	108	60	5	10	185	93	169
2006	2848	2048	6	36	108	60	5	26	185	93	199
2002	2304	1600	2	38	114	60	10	16	200	85	169
2002	2304	1600	2	39	39	50	6	16	145	77	199
2007	3296	2304	8	36	108	45	7	25	181	96	199
2003	2816	2048	3	38	114	60	10	16	205	85	169
2003	2816	2048	3	36	108	60	8	16	180	77	169
2004	2304	1600	3	38	130	60	9	16	180	75	169
2004	2592	2048	5	38	130	60	9	16	180	75	199
2004	2592	2048	5	38	130	60	9	16	180	93	199
2006	2816	2048	6	35	105	70	10	16	150	92	169
2007	3264	2304	8	28	112	40	5	12	170	96	169
2007	4000	2848	12	35	105	45	7	25	205	93	199
2002	2832	2048	3	36	108	60	20	16	280	72	169
2003	4048	2848	6	35	105	60	9	16	205	72	169
2006	2816	2048	6	36	180	60	3	32	200	105	169
2003	2832	2048	3	35	105	60	9	16	205	108	169
2004	2832	2048	3	32	130	60	8	16	225	110	169
2004	4048	2848	6	32	130	60	7	16	250	110	169
2007	3488	2592	9	28	300	0	0	0	750	128	169
2002	2832	2048	3	38	76	60	20	16	280	65	169
2004	2832	2016	6	35	210	50	1	16	597	121	1699
2003	2048	1600	3	38	228	80	10	16	400	100	229
2004	2272	1600	4	39	234	80	10	16	385	100	229
2003	2816	2048	3	37	370	90	10	16	430	113	229
2004	2272	1600	4	37	370	90	10	16	387	113	229
2005	2592	2048	5	38	380	90	1	16	470	114	229
2007	3072	2304	7	38	380	30	10	27	406	106	229
2006	2848	2048	6	28	300	40	10	10	700	131	399
2002	2832	2048	3	35	210	50	1	16	590	121	399
2002	2832	2048	3	35	210	50	1	340	590	121	1699
2003	4048	2848	6	35	210	50	1	16	590	121	229
2007	3264	2304	8	27	486	70	10	58	510	111	399
2005	3488	2592	9	28	300	50	1	16	745	128	229
2006	3488	2592	9	28	300	0	0	0	750	128	229
2006	2592	2048	5	36	130	60	9	16	185	83	179
2005	2592	2048	5	36	108	60	8	16	170	90	179
2007	3072	2304	7	38	114	60	8	54	160	91	399
2005	2592	2048	5	36	108	60	8	16	170	90	179
2006	2592	2048	5	36	108	60	8	10	170	89	179
2007	4256	3024	6	0	0	0	0	0	920	147	1699
1999	1280	640	1	38	38	70	10	4	240	110	169
2000	1280	640	1	38	114	80	10	4	390	74	169
1999	1280	640	1	38	38	50	10	4	250	104	169
1999	1280	640	1	38	114	80	20	8	270	79	169
1999	1800	1280	2	35	35	50	9	4	260	80	169
1999	1800	1280	2	35	105	90	25	8	385	130	179
2000	2400	1280	2	36	108	80	20	16	280	78	169
1998	1280	640	1	35	35	50	9	2	220	123	169
1999	1280	640	1	38	115	90	25	4	0	122	179
1998	1280	640	1	35	35	50	9	2	260	80	169
2000	3040	2340	3	0	0	0	0	16	820	148	1699
2002	4256	3024	6	0	0	0	0	0	850	142	1699
2004	4256	3024	6	0	0	0	0	0	930	148	1699
2006	4256	3024	6	0	0	0	0	0	920	147	1699
2002	1632	640	2	38	38	75	0	8	240	113	179
2003	2048	640	3	36	36	85	85	16	190	117	179
2002	1632	640	2	36	102	20	20	8	280	120	179
2003	1636	640	2	38	114	80	10	16	240	240	179
2001	2048	640	3	34	102	60	20	16	320	127	179
2002	2048	640	3	34	102	20	20	16	340	118	179
2003	2080	0	3	38	114	0	0	16	290	105	179
2002	2272	1136	3	37	111	50	14	0	245	95	179
2002	2272	1136	3	37	300	50	10	0	489	114	179
2003	2608	1296	5	37	111	50	14	32	260	97	179
2003	2608	1296	5	37	300	50	10	32	500	123	179
1998	1152	576	1	39	39	60	20	4	300	127	179
1999	1152	640	1	35	35	60	20	8	300	126	179
2000	1280	640	1	43	43	60	10	4	290	124	179
1998	1152	576	1	35	35	60	20	4	300	126	179
2000	1600	640	1	38	38	30	30	8	280	128	179
1999	1600	640	1	38	115	0	0	16	410	153	179
2000	1600	800	1	34	108	50	10	16	630	144	179
2000	1600	800	1	34	108	50	10	16	150	99	179
2005	2560	2048	5	35	35	60	10	16	231	95	179
2006	2560	2048	5	35	35	60	0	16	170	96	179
2007	2576	0	5	36	36	100	0	16	170	96	179
2005	2320	1600	4	36	36	0	0	16	172	109	179
2005	2320	1600	4	36	36	0	10	16	172	109	179
2004	2080	1280	3	40	111	80	10	16	177	107	179
2004	2320	1280	4	40	111	50	10	16	190	95	179
2005	2576	2048	5	36	108	50	12	16	181	96	179
2006	2576	2080	5	38	114	50	12	32	172	109	179
2007	2576	0	5	38	114	50	10	16	190	95	179
2005	2576	2048	5	36	108	80	12	16	190	97	179
2006	2800	2288	6	38	114	50	12	16	192	96	179
2006	2800	2288	6	38	114	50	12	16	227	99	179
2007	2848	0	6	38	114	50	0	32	157	90	179
2007	3264	0	8	35	210	0	14	32	157	90	179
2004	2320	1280	4	35	105	50	6	32	205	96	179
2004	2320	1280	4	35	105	50	14	32	205	96	179
2004	2608	1296	5	39	117	50	14	32	150	93	179
2005	2864	2592	6	39	117	50	10	32	150	93	179
2006	2864	2592	6	39	118	50	10	32	136	94	179
2006	2864	2592	6	39	118	50	5	32	190	91	179
2007	3096	0	7	36	108	50	3	32	190	91	179
2005	2592	2048	5	36	180	20	3	32	205	100	179
2005	2592	2048	5	36	180	20	1	32	200	96	179
2007	3112	0	7	39	118	50	12	32	227	105	179
2006	3296	2592	8	35	105	50	10				179
2007	3298	0	8	39	118	50					179
2001	2032	1024	3	37	86	50	2	8	320	111	14
2001	2032	1024	3	37	86	50	2	16	320	111	14
2005	2096	0	3	37	37	80	0	16	198	104	129
2005	2336	2313	4	35	35	85	85	16	154	103	129
2005	2336	2304	4	34	102	60	13	16	180	91	129
2005	2576	0	5	34	102	60	13	16	198	92	129
2005	2690	2569	5	34	102	60	7	32	170	84	129
2006	2304	2048	4	36	108	60	10	16	180	91	126
2007	2572	2048	5	36	108	60	13	16	188	91	126
2006	2576	2048	5	37	111	60	10	16	200	91	126
2007	2848	2048	6	36	108	60	13	16	187	91	126
2006	2848	2304	6	36	108	60	13	22	195	92	126
2007	2848	2304	6	36	108	60	10	22	195	89	126
2006	2832	2304	6	34	102	60	5	32	190	85	126
2006	3072	2304	7	37	111	60	13	32	195	92	126
2007	3072	2592	7	35	105	60	5	32	180	90	126
2006	3264	2560	8	37	185	60	10	32	225	91	126
2002	1632	0	2	37	37	75	20	16	250	109	129
2002	1632	0	2	36	108	50	10	16	280	115	129
2002	2080	0	3	38	76	30	15	16	250	109	126
2003	1632	0	2	37	37	50	50	8	195	104	129
2003	1632	0	2	36	108	50	50	16	225	104	129
2003	2032	0	3	37	111	60	60	16	225	103	126
2004	0	0	2	37	78	50	60	16	195	104	129
2004	2096	0	3	37	37	80	0	16	162	104	126
2004	2032	0	3	37	111	60	13	16	225	103	126
2004	2408	0	4	34	102	60	10	16	198	103	126
2004	2560	0	4	34	102	60	10	32	240	103	126
1998	1152	640	0	39	39	70	0	4	400	131	129
1999	1152	640	0	39	39	70	0	4	400	131	129
1998	1152	640	0	29	58	50	20	8	400	131	129
1999	1152	640	0	29	58	50	20	4	320	115	129
1998	1152	640	0	29	58	50	20	8	550	118	129
1999	1280	640	1	39	117	50	25	8	420	133	129
1998	1536	768	1	38	115	30	0	8	550	118	129
1999	1536	768	1	38	115	30	0	16	550	118	129
1999	1760	896	2	30	60	50	25	20	420	133	129
1999	1792	1440	2	38	115	30	0	20	550	118	129
2000	1152	576	0	39	39	60	0	2	240	113	129
2000	1760	896	2	38	76	50	25	20	420	133	129
2000	1760	896	2	33	33	50	20	0	200	95	129
2000	2160	1800	3	28	84	50	20	16	320	120	129
2000	1760	896	2	30	60	50	20	16	459	140	126
2002	4536	3024	13	0	0	0	0	0	1000	131	129
1998	1520	0	1	0	0	0	0	0	1800	137	126
1999	2008	0	3	0	0	0	0	0	1080	137	126
1994	1524	0	1	0	0	0	0	0	1700	170	129
1995	3060	0	6	0	0	0	0	0	1700	170	129
1998	1728	0	2	0	0	0	0	0	1650	161	129
1998	3040	0	6	0	0	0	0	0	1650	161	129
1999	1728	0	2	0	0	0	0	0	1580	194	129
2000	1728	0	2	0	0	0	0	0	1580	194	129
1999	3040	0	6	0	0	0	0	0	1580	194	129
2001	1728	0	2	0	0	0	0	0	1580	194	129
2001	3032	0	6	0	0	0	0	0	1860	194	129
2004	4500	3000	13	0	0	0	0	0	1000	137	129
2004	4500	3000	13	0	0	0	0	0	1000	131	129
2001	1280	0	1	30	60	75	22	8	260	121	129
2001	1800	900	2	38	38	75	22	8	225	120	129
2001	1800	900	2	35	70	50	28	8	250	120	129
2001	2160	0	3	37	37	50	15	8	250	150	129
2001	2160	1800	3	35	70	50	7	8	260	116	129
2002	2160	1800	3	38	114	60	7	16	260	111	126
2003	2580	0	5	38	114	60	7	32	210	111	126
2002	2448	2160	4	35	70	50	7	16	260	116	129
2003	2032	0	3	36	144	50	10	16	280	109	126
2003	2304	0	4	33	132	50	10	16	270	109	129
2003	2304	0	4	38	380	60	12	16	380	100	129
2004	2304	2048	4	33	132	50	10	32	270	100	129
2004	2576	2576	5	38	380	60	12	32	400	97	126
2004	2872	0	6	39	117	60	7	32	270	100	126
2005	2304	0	4	36	100	60	10	256	275	103	296
2002	1752	876	2	38	38	80	0	8	160	109	129
2002	2448	2160	4	35	105	70	13	16	260	109	129
2003	2041	0	3	37	111	60	13	16	260	114	126
2004	2304	0	4	36	100	60	12	16	220	108	126
2004	2569	0	5	36	108	60	12	32	220	108	126
2004	2592	2288	5	36	108	70	5	16	210	95	126
2007	3056	2592	7	37	111	40	7	16	165	93	126
2007	3296	2592	8	37	111	40	7	16	165	93	146
2007	3264	2592	8	38	114	70	10	32	160	92	146
2007	3280	0	8	38	114	70	10	64	166	92	146
2001	640	0	0	37	37	70	0	16	198	105	129
2006	3072	2592	7	36	432	50	10	32	440	108	126
2005	2592	2048	5	36	432	10	10	32	450	108	146
2005	3264	2560	8	24	140	10	5	32	570	116	146
2007	3648	2560	10	36	108	60	5	24	185	103	129
2005	2569	2576	5	36	108	60	7	16	150	92	126
2005	2569	2576	5	36	108	60	7	32	160	94	126
2006	2569	2576	5	39	117	0	0	32	175	101	129
2006	2832	2304	6	38	380	0	0	32	195	111	129
2006	3072	2576	7	23	117	60	5	32	165	101	126
2007	3264	2560	8	36	108	60	5	24	185	103	146
2007	4000	2832	12	35	175	60	10	64	211	90	129
2006	2848	2304	6	35	420	50	10	32	330	104	129
2006	2848	2304	6	38	380	60	12	32	320	98	126
2005	2304	0	4	35	175	60	10	16	270	97	126
2006	3072	2592	7	38	380	60	12	32	360	98	126
2007	3072	2592	7	36	423	60	13	32	350	104	126
2005	2576	2304	5	33	132	50	10	32	270	100	126
2005	2576	2304	5	38	380	60	12	32	330	98	126
2005	2576	2576	5	38	380	60	12	32	400	97	126
2005	2872	2856	6	39	117	60	7	32	259	100	126
2007	3264	2592	8	36	180	60	7	32	211	90	146
2000	2048	1024	3	38	76	60	10	8	240	38	169
2003	2048	1024	3	38	115	60	20	16	220	111	169
2003	2048	1600	3	38	115	60	20	16	220	112	169
2003	2304	1600	4	35	105	60	20	16	220	112	199
2004	2272	1600	4	37	370	60	10	0	340	107	169
2004	2272	1600	4	37	370	60	10	0	340	107	179
2001	2048	1024	3	38	76	30	6	16	160	30	1699
2002	2048	1600	3	35	105	55	12	16	205	92	1699
2003	2048	1600	3	35	105	60	17	16	205	92	1699
2002	2048	1024	3	35	105	55	12	16	175	32	1699
2002	2272	1280	3	35	105	55	12	16	175	32	1699
2002	2560	1600	5	35	105	55	12	16	205	92	1699
2003	2560	1600	5	35	105	60	17	16	205	92	1699
2003	2048	1600	3	35	115	60	20	16	175	100	229
2004	2272	1600	3	35	115	60	20	16	155	100	229
2006	2816	2048	6	28	102	50	5	16	155	94	509
1998	1280	640	1	35	35	50	9	2	260	80	149
2002	2240	1600	3	33	100	30	6	32	455	127	249
2003	2560	2048	4	28	90	30	30	64	705	135	249
2006	3136	2560	7	0	0	0	0	0	606	146	269
2000	2400	1280	2	36	108	80	20	16	280	78	149
2000	1280	640	1	38	114	80	20	8	270	79	249
2005	3840	3072	8	28	112	50	5	32	220	106	509
2006	4224	3840	10	28	112	50	5	13	220	106	509
2006	3936	2952	10	0	0	0	0	0	591	139	146
2006	3648	3264	10	35	420	30	5	32	734	141	509
1997	512	320	0	52	52	23	14	1	200	60	229
2002	1632	1024	1	38	114	0	0	8	295	108	229
2003	1600	1024	1	36	108	30	4	8	215	88	99
2004	1600	1024	1	36	108	30	4	14	190	88	229
2002	1600	1280	1	37	111	30	4	8	250	114	229
1997	640	0	0	45	45	23	14	4	250	78	229
2003	2048	1600	3	38	115	30	4	16	215	88	99
2004	2048	1600	3	38	115	30	4	14	190	88	229
2002	2048	1600	3	37	111	30	4	8	250	114	229
2003	2048	1600	3	35	105	30	3	16	162	95.5	229
2004	2288	1600	3	35	105	0	0	14	190	88	99
2004	2272	2048	3	38	114	30	4	12	180	88	229
2002	2272	2048	3	38	114	30	4	16	286	95	229
2002	2272	1280	3	38	155	30	2	16	374	130	229
2005	2288	1600	3	34	102	30	4	14	180	85	229
2004	2288	1600	4	36	300	40	1	13	295	106	229
2001	2560	1600	4	28	85	50	2	32	414	102	229
2004	2592	2048	5	38	114	30	4	12	180	88	229
2003	2592	1600	5	28	116	50	1	16	400	108	229
2005	2592	2048	5	34	102	30	4	14	180	85	229
2002	2560	1600	4	35	280	50	3	32	512	108	229
2005	2592	2048	5	38	114	30	4	13	185	88	229
1998	1024	512	0	36	36	50	14	8	220	110	229
1999	1600	640	1	35	35	30	9	8	340	114	229
2005	3072	2592	7	38	114	30	4	14	195	85	229
2001	1600	1024	1	38	115	30	4	8	230	87	159
2005	3072	2592	7	38	114	30	4	13	185	88	229
1999	1600	640	1	38	76	30	7	8	360	119	229
2004	3264	2592	8	24	85	50	3	0	470	113	229
2004	3264	2592	8	35	280	50	3	0	512	113	229
2000	2048	1024	3	38	95	40	4	8	320	99.5	229
2004	3264	2592	8	35	350	50	3	0	680	116	229
2001	2048	1024	3	38	114	40	4	16	286	95	159
1998	1280	640	1	38	115	50	20	4	420	157	229
1998	1280	640	1	38	115	50	20	8	420	157	229
1999	1600	1024	1	38	115	30	2	8	480	143	229
2000	2048	1024	3	38	115	30	2	16	450	143	229
2001	2048	1600	3	38	152	30	2	16	420	138	159
2005	2816	2048	6	38	190	50	4	10	195	90	99
2007	2560	2048	4	37	112	40	15	7	165	90	99
2007	2816	2048	6	37	112	40	15	7	175	90	99
2007	3072	2592	7	35	105	50	15	21	175	91	99
2007	3072	2048	7	38	114	60	10	23	225	91	129
